window,strategy,capital_proxy,variance_notional,raw_pnl,capital,years,annualised_return_on_capital,cash_benchmark,excess_over_cash
development 2013-2022,A. uncapped variance swap,peak drawdown,1000000.0,564512.709406259,830372.5614851292,9.911019849418206,0.0685934091262869,0.0064,0.0621934091262869
development 2013-2022,A. uncapped variance swap,worst single trade,1000000.0,564512.709406259,748598.6454761173,9.911019849418206,0.07608627824989758,0.0064,0.06968627824989758
development 2013-2022,C. 2.5x capped (fairly priced),peak drawdown,1000000.0,548729.3803245149,227133.93425089167,9.911019849418206,0.2437574200250187,0.0064,0.23735742002501872
development 2013-2022,C. 2.5x capped (fairly priced),worst single trade,1000000.0,548729.3803245149,172598.43938019994,9.911019849418206,0.3207768390719353,0.0064,0.3143768390719353
OOS 2023-2025,A. uncapped variance swap,peak drawdown,1000000.0,74631.71400787658,269465.6892504323,2.5763175906913074,0.10750298966501069,0.0462,0.061302989665010695
OOS 2023-2025,A. uncapped variance swap,worst single trade,1000000.0,74631.71400787658,209690.70300906102,2.5763175906913074,0.13814807614676386,0.0462,0.09194807614676387
OOS 2023-2025,C. 2.5x capped (fairly priced),peak drawdown,1000000.0,48253.23808377721,141377.09233555547,2.5763175906913074,0.13247929802263972,0.0462,0.08627929802263973
OOS 2023-2025,C. 2.5x capped (fairly priced),worst single trade,1000000.0,48253.23808377721,76399.63348525469,2.5763175906913074,0.24515219634805122,0.0462,0.19895219634805122
full 2013-2025,A. uncapped variance swap,peak drawdown,1000000.0,639144.4234141352,830372.5614851292,12.577686516084873,0.0611963116532505,0.0148,0.0463963116532505
full 2013-2025,A. uncapped variance swap,worst single trade,1000000.0,639144.4234141352,748598.6454761173,12.577686516084873,0.06788115149291045,0.0148,0.05308115149291045
full 2013-2025,C. 2.5x capped (fairly priced),peak drawdown,1000000.0,596982.6184082923,227133.93425089167,12.577686516084873,0.2089675720400481,0.0148,0.1941675720400481
full 2013-2025,C. 2.5x capped (fairly priced),worst single trade,1000000.0,596982.6184082923,172598.43938019994,12.577686516084873,0.2749945303025588,0.0148,0.26019453030255885
