strategy,trades,net_pnl,annualised_return_on_notional,sharpe,max_dd,max_dd_ratio,worst_trade,best_trade,es95,skew,kurtosis,hit_rate,window,mean_fair_strike,mean_concession,concession_pct,cap_binding_trades,carry_sacrificed,cap_multiplier
A. uncapped variance swap,120,564512.709406259,0.056958084837192294,0.21716867302411466,830372.5614851292,0.8303725614851292,-748598.6454761173,175226.42697209524,-175889.6536326746,-8.525098676936185,87.01044517579611,0.7666666666666667,development 2013-2022,0.03616933154098809,0.0,0.0,0,0.0,
B. 2.0x capped (fairly priced),120,415465.39144995814,0.041919539841739566,0.49455018562160985,172953.22416509246,0.17295322416509246,-128983.51970014005,128041.62694174929,-48945.16858401572,0.11430906358854626,12.736986366546716,0.6166666666666667,development 2013-2022,0.027823275175034124,0.008346056365953964,0.2760686805429136,6,1001526.7639144757,2.0
C. 2.5x capped (fairly priced),120,548729.3803245149,0.05536558181312958,0.5610392156165683,227133.93425089167,0.22713393425089168,-172598.43938019994,144711.0189519921,-59713.89773297481,-0.803980201698535,17.455685819573603,0.65,development 2013-2022,0.0297790520649799,0.006390279476008187,0.22013972218649044,6,766833.5371209823,2.5
D. 3.0x capped (fairly priced),120,613950.6321620401,0.061946261988172685,0.550264952866544,289883.811659917,0.289883811659917,-217859.69890795936,155153.84565881378,-73599.54119529434,-1.8147408129002618,22.635747129518393,0.6583333333333333,development 2013-2022,0.031167806146283745,0.005001525394704341,0.1789122548371856,6,600183.0473645208,3.0
"E. 2.5x cap, uncapped strike retained (NOT A CONTRACT)",120,1315562.9174454974,0.13273739104888616,1.2727503537003784,195917.77753821894,0.19591777753821896,-150294.701893871,175226.42697209524,-51852.202220835934,0.5052263707287697,14.511979643934927,0.7666666666666667,development 2013-2022,0.03616933154098809,0.0,0.0,6,0.0,2.5
A. uncapped variance swap,32,74631.71400787658,0.02896836720656421,0.1928953871513104,269465.6892504323,0.2694656892504323,-209690.70300906102,31567.489960388564,-134732.84462521615,-4.520364473723165,22.624732381517934,0.8125,OOS 2023-2025,0.030102460362991454,0.0,0.0,0,0.0,
B. 2.0x capped (fairly priced),32,33172.41716049412,0.012875903685303376,0.20741091212039414,112673.30596061416,0.11267330596061416,-56429.47091499216,19804.8105007813,-56336.65298030708,-2.3097621559323236,6.383304482135792,0.65625,OOS 2023-2025,0.023324805855979323,0.006777654507012132,0.24345671153577175,2,216884.94422438822,2.0
C. 2.5x capped (fairly priced),32,48253.23808377721,0.018729537949096306,0.24893867064701458,141377.09233555547,0.14137709233555548,-76399.63348525469,22520.90545522727,-70688.54616777773,-2.6999804790846786,8.239983376312818,0.6875,OOS 2023-2025,0.024848298658450393,0.005254161704541062,0.19187385137683466,1,168133.174545314,2.5
D. 3.0x capped (fairly priced),32,60760.29081082926,0.023584161762651844,0.2762471617202447,160540.0315471347,0.16054003154713473,-97101.84179471049,24539.651714126736,-80270.01577356736,-3.052430434646213,10.736616937280585,0.71875,OOS 2023-2025,0.025946810768544173,0.004155649594447284,0.1540261136319989,1,132980.7870223131,3.0
"E. 2.5x cap, uncapped strike retained (NOT A CONTRACT)",32,216386.41262909118,0.0839905815226095,1.1127777992328507,127710.99062921769,0.1277109906292177,-67936.0043878464,31567.489960388564,-63855.495314608845,-2.4103246347623606,7.072580646584509,0.8125,OOS 2023-2025,0.030102460362991454,0.0,0.0,1,0.0,2.5
A. uncapped variance swap,152,639144.4234141352,0.050815738060951875,0.2102752093181405,830372.5614851292,0.8303725614851292,-748598.6454761173,175226.42697209524,-165600.45138080997,-8.690317065237748,94.03745404594498,0.7763157894736842,full 2013-2025,0.03489209550351511,0.0,0.0,0,0.0,
B. 2.0x capped (fairly priced),152,448637.80861045216,0.03566934253264425,0.4458053786544704,172953.22416509246,0.17295322416509246,-128983.51970014005,128041.62694174929,-50793.03968308856,-0.057842013439301926,12.991822377349676,0.625,full 2013-2025,0.026876229002601535,0.008015866500913578,0.2692030028571995,8,1218411.708138864,2.0
C. 2.5x capped (fairly priced),152,596982.6184082923,0.04746362676831275,0.5069718073834995,227133.93425089167,0.22713393425089168,-172598.43938019994,144711.0189519921,-62457.55984167554,-0.9577299236016347,17.344035292868696,0.6578947368421053,full 2013-2025,0.028740998716236844,0.006151096787278265,0.21418901254235237,7,934966.7116662965,2.5
D. 3.0x capped (fairly priced),152,674710.9229728694,0.053643483808411094,0.5026947376071428,289883.811659917,0.289883811659917,-217859.69890795936,155153.84565881378,-75267.1598398626,-1.9171505134517401,22.444361821200033,0.6710526315789473,full 2013-2025,0.03006864922465436,0.00482344627886075,0.17367306721504103,7,733163.834386834,3.0
"E. 2.5x cap, uncapped strike retained (NOT A CONTRACT)",152,1531949.3300745883,0.12179897536128503,1.2377948829687098,195917.77753821894,0.19591777753821896,-150294.701893871,175226.42697209524,-54853.025494279165,0.317154447823004,14.85236808979751,0.7763157894736842,full 2013-2025,0.03489209550351511,0.0,0.0,7,0.0,2.5
