model,mean_tail_value,mean_concession_pct_of_strike,tail_vs_baseline_pct,dev_net_pnl,oos_net_pnl,dev_sharpe,full_net_pnl
baseline,0.006141977462803601,0.21448890359462125,0.0,550427.2572023034,47941.49852613776,0.5622743943479319,598368.7557284412
xi +20%,0.008079600985605758,0.2739195812219975,0.31547226191183353,308607.0750537337,-4757.094791220399,0.3234065368627343,303849.9802625133
xi -20%,0.004151517108310181,0.15071004298507826,-0.3240748385268162,798327.4797568149,102591.2498546264,0.7967023441937271,900918.7296114411
kappa +20%,0.005617897700376473,0.20100130174661435,-0.08532752938300492,614690.1841611504,63338.695456214264,0.6256761037609949,678028.8796173647
kappa -20%,0.006730085651101875,0.22853171335177352,0.09575225436106094,478663.4711793679,30312.839927735564,0.49027030974569186,508976.3111071035
theta +20%,0.007037896628537315,0.24785759689448505,0.14586819491922354,438402.2119825727,23786.83055434373,0.4500904018629312,462189.0425369163
theta -20%,0.005305624606267884,0.18303779664445413,-0.13616996506430534,655444.1970470645,70050.19287480565,0.6663146991877706,725494.3899218701
v0 +10%,0.006614881569065369,0.22782190693625554,0.07699541542210464,491116.960836741,35370.37073991139,0.5056381638521598,526487.3315766526
v0 -10%,0.005683828378351692,0.2013843830942327,-0.07459309110567458,608256.4752031846,59750.941361946665,0.6169304908800446,668007.4165651314
rho +0.05,0.0060719959157899015,0.2123533523201178,-0.011393976522628746,559291.0855554094,49714.86531911405,0.5707687063042136,609005.9508745236
rho -0.05,0.006216067518926334,0.21675762828227269,0.012062899379137848,541053.4699644855,46053.597233300505,0.5532650010467315,587107.067197786
black_scholes,7.893221314437065e-07,2.3784527993513292e-05,-0.9998714872960339,1315468.251293773,216361.10181683608,1.272678346326514,1531829.353110609
bootstrap,0.0015263963490637945,0.09155628667259723,-0.7514812846012875,1165857.8031080326,134079.28190885944,1.1182378625781195,1299937.0850168918
