segment,n,correlation,rmse,mae,explained_variance,mean_residual,worst_residual,explained_variance_with_vanna_volga,rmse_with_vanna_volga
all non-expiry intervals,3078,0.9951071437689748,2716.0986515799073,861.5969299445132,0.990170847043373,155.0964781361483,59144.157713735534,0.9882298813130038,3018.4263293459044
development 2013-2022,2428,0.9951501062825049,2918.2721925652554,887.7760215646055,0.9902833228809282,149.22776653606047,59144.157713735534,0.9887175122076776,3189.1655896132115
OOS 2023-2025,650,0.9948469372282346,1766.9572517162417,763.8079538620764,0.9888474782969474,177.0183731592457,21907.20795358729,0.9824842751731021,2269.766366476135
low implied vol (bottom quartile),770,0.995549272624546,538.7902612262529,261.8550628919859,0.9903776551584784,45.84122727414447,7103.809427971406,0.9634740252726435,1055.854561788941
high implied vol (top quartile),770,0.9956091431385823,4848.0767696383655,1761.6814489138083,0.991217319915816,280.5431727945608,59144.157713735534,0.9900698836658871,5342.522177397005
small spot move (|r| < 0.5%),1573,0.9064507171091152,1808.1143543830492,480.69351965284113,0.7975653333562938,124.15689097751016,59144.157713735534,0.6639789083858572,2373.967574424579
large spot move (|r| > 2%),168,0.9966847759434572,9137.181773995355,4542.6162594625675,0.9933430630216061,549.8808549505784,55364.4084009534,0.994743574324439,8319.81865745672
large IV change (|dIV| > 2 vol pts),785,0.9954550569420471,4731.384438944792,1880.2180378144296,0.9909307609530362,510.63487609280554,59144.157713735534,0.989491555924527,5480.023985747105
COVID trade (entry 2020-03-02),21,0.995996236369831,25918.298019708196,18339.357334706765,0.9920049990175183,-1514.2050338227211,59144.157713735534,0.9941141352191002,22700.59063446621
April 2025 trade (entry 2025-04-01),21,0.9969302708284448,6721.775098014852,4004.2974446562866,0.9931312115253376,53.34229390154451,21907.20795358729,0.9922946752076264,7176.592706160326
