,BASELINE,A1_inverse_variance,A1_inverse_variance (flat control),A2_inverse_vol,A2_inverse_vol (flat control),D_term_structure,D_term_structure (flat control),E2_deep_downside,E2_deep_downside (flat control),E3_skew_wedge,E3_skew_wedge (flat control)
Net P&L,368603.82737358386,265807.6374751872,314927.2833014427,287409.3125225574,333750.95680407045,528699.3493734759,344963.3556729666,358744.6899936217,307084.83980001765,524495.5409587388,327344.11588023964
Annual return on avg notional,0.03686038273735839,0.031116424075402566,0.03686038273735839,0.031746308300842935,0.03686038273735839,0.05650012586216652,0.03686038273735839,0.0430669071895918,0.03686038273735839,0.05907395070734718,0.03686038273735839
Sharpe,0.1462570522493577,0.32724068044439336,0.1462829997047632,0.23751648546121987,0.1462764502320693,0.32884992091022675,0.14627539530760322,0.3858049346299134,0.14627753876277047,0.3391970804583834,0.1462916030260499
NW t,0.5074740645064869,1.0358104027662591,0.5075667401221899,0.7331923555454832,0.507546840398093,1.1035830704858096,0.5075434957208833,1.166737722779309,0.5075470628212261,1.2260033739507354,0.5075969747558452
Max DD,0.8130142053747063,0.2971145403350729,0.8130098816069045,0.4374373268114271,0.8130091222068023,0.5445327868232697,0.813011522290809,0.3623842598477279,0.8130122698534287,0.5288174391919657,0.8130077433833134
Worst trade,-732061.4405409676,-183023.16925858034,-625347.0413858005,-327578.4282075043,-662754.5900964076,-428593.2330075994,-685024.5721202509,-220911.09640276027,-609797.6575542196,-405678.2158935876,-649964.0519005149
ES95,-171332.03237302884,-80498.58023143426,-146353.6824255331,-103726.56217067134,-155107.56106781305,-120224.51191427656,-160320.01106760977,-83714.90546992807,-142714.722795827,-112474.54943558853,-152114.21478847924
Skew,-8.719735713363564,-5.127404507871293,-8.719735713363564,-7.4151256182441845,-8.719735713363564,-6.806816428563065,-8.719735713363564,-5.463443435525683,-8.719735713363564,-6.298549266038333,-8.719735713363564
Kurtosis,89.30379859820269,34.72615526907494,89.30379859820269,67.88396807557643,89.30379859820269,64.64790092806729,89.30379859820269,41.52531929914461,89.30379859820269,61.300622725601265,89.30379859820269
Win rate,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667,0.7416666666666667
Mean scale,1.0,0.8542358107444207,0.8542358107444206,0.9053314476723773,0.9053314476723776,0.935748976317772,0.9357489763177719,0.8329938539917289,0.8329938539917289,0.8878626444963769,0.8878626444963765
Carry retained,1.0,0.7211201233832777,0.8543787663448773,0.779724167734333,0.9054462596933655,1.4343295161654237,0.9358648230294759,0.9732527536401031,0.8331026891068712,1.42292483693382,0.8880648858495789
Costs,117783.10224510371,84856.70615720154,100561.94827375133,94555.44054022807,106590.48684879791,105370.44033856988,110172.76001428338,86369.34596511652,98072.56917639068,102326.3603894168,104500.76534513132
Financing,-789.2853295727164,-1125.783028733922,-674.1373765275221,-940.1140091767902,-714.504297788284,-3078.339141148649,-738.528736947901,-321.5369540948377,-657.3838864454265,-1252.2510418643742,-700.6813143262407
Positive blocks,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0
Worst block Sharpe,-0.2025300916335679,-0.15584208689832674,-0.2025300916335679,-0.21727730110757207,-0.2025300916335679,-0.20846302051983182,-0.2025300916335679,-0.28233242894693816,-0.2025300916335679,-0.19263278002256867,-0.2025300916335679
Top-5 concentration,1.251220032656189,0.44302556274444915,1.251220032656189,0.5952058758524527,1.251220032656189,0.7275447467666889,1.251220032656189,0.4772060811801008,1.251220032656189,0.7625032467807968,1.251220032656189
